conv_id,domain,row_id,speaker,utterance,sys_act,usr_act,asked_slot,extracted_slots,state_info,state_book,missing_info,missing_book
learned_movie_00000,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,movie,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
learned_movie_00000,movie,1,user,Mình muốn đặt vé phim oppenheimer. Hôm nay.,,"{""act"": ""inform"", ""slots"": {""movie"": ""oppenheimer"", ""date"": ""today""}}",,"{""date"": ""today"", ""movie"": ""oppenheimer""}","{""movie"": ""oppenheimer""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
learned_movie_00000,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,theater,,"{""movie"": ""oppenheimer""}","{""date"": ""today""}","[""theater""]","[""time"", ""tickets""]"
learned_movie_00000,movie,3,user,Lotte.,,"{""act"": ""inform"", ""slots"": {""theater"": ""Lotte""}}",,"{""theater"": ""Lotte""}","{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today""}",[],"[""time"", ""tickets""]"
learned_movie_00000,movie,4,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,time,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today""}",[],"[""time"", ""tickets""]"
learned_movie_00000,movie,5,user,18:30,,"{""act"": ""inform"", ""slots"": {""time"": ""18:30""}}",,"{""time"": ""18:30""}","{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30""}",[],"[""tickets""]"
learned_movie_00000,movie,6,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,tickets,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30""}",[],"[""tickets""]"
learned_movie_00000,movie,7,user,1 vé,,"{""act"": ""inform"", ""slots"": {""tickets"": 1}}",,{},"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30""}",[],"[""tickets""]"
learned_movie_00000,movie,8,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,tickets,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30""}",[],"[""tickets""]"
learned_movie_00000,movie,9,user,Tư vấn mua laptop giúp mình?,,"{""act"": ""oos"", ""slots"": {}}",,{},"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30""}",[],"[""tickets""]"
learned_movie_00000,movie,10,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,tickets,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30""}",[],"[""tickets""]"
learned_movie_00000,movie,11,user,1 vé,,"{""act"": ""inform"", ""slots"": {""tickets"": 1}}",,"{""tickets"": 1}","{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""today"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
