conv_id,domain,row_id,speaker,utterance,sys_act,usr_act,extracted_slots,state_info,state_book,missing_info,missing_book
movie_0000,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
movie_0000,movie,1,user,Mình muốn đặt vé phim dune.,,"{""act"": ""inform"", ""slots"": {""movie"": ""dune""}}","{""movie"": ""dune""}","{""movie"": ""dune""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0000,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,,"{""movie"": ""dune""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0000,movie,3,user,BHD.,,"{""act"": ""inform"", ""slots"": {""theater"": ""BHD""}}","{""theater"": ""BHD""}","{""movie"": ""dune"", ""theater"": ""BHD""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0000,movie,4,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,,"{""movie"": ""dune"", ""theater"": ""BHD""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0000,movie,5,user,Cuối tuần.,,"{""act"": ""inform"", ""slots"": {""date"": ""weekend""}}",{},"{""movie"": ""dune"", ""theater"": ""BHD""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0000,movie,6,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,,"{""movie"": ""dune"", ""theater"": ""BHD""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0000,movie,7,user,Cuối tuần.,,"{""act"": ""inform"", ""slots"": {""date"": ""weekend""}}","{""date"": ""weekend""}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
movie_0000,movie,8,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
movie_0000,movie,9,user,18:30,,"{""act"": ""inform"", ""slots"": {""time"": ""18:30""}}","{""time"": ""18:30""}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
movie_0000,movie,10,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
movie_0000,movie,11,user,1 vé,,"{""act"": ""inform"", ""slots"": {""tickets"": 1}}","{""tickets"": 1}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
movie_0000,movie,12,system,"Chốt đặt vé: phim dune, rạp BHD, ngày weekend, giờ 18:30, 1 vé. OK không?",CONFIRM(movie),,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
movie_0000,movie,13,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",{},"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
movie_0001,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
movie_0001,movie,1,user,Mình muốn đặt vé phim oppenheimer.,,"{""act"": ""inform"", ""slots"": {""movie"": ""oppenheimer""}}","{""movie"": ""oppenheimer""}","{""movie"": ""oppenheimer""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0001,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,,"{""movie"": ""oppenheimer""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0001,movie,3,user,Lotte.,,"{""act"": ""inform"", ""slots"": {""theater"": ""Lotte""}}","{""theater"": ""Lotte""}","{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0001,movie,4,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0001,movie,5,user,Cuối tuần. Lotte. 3 vé,,"{""act"": ""inform"", ""slots"": {""date"": ""weekend"", ""theater"": ""Lotte"", ""tickets"": 3}}","{""date"": ""weekend"", ""tickets"": 3, ""theater"": ""Lotte""}","{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""weekend"", ""tickets"": 3}",[],"[""time""]"
movie_0001,movie,6,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,,"{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""weekend"", ""tickets"": 3}",[],"[""time""]"
movie_0001,movie,7,user,18:30,,"{""act"": ""inform"", ""slots"": {""time"": ""18:30""}}","{""time"": ""18:30""}","{""movie"": ""oppenheimer"", ""theater"": ""Lotte""}","{""date"": ""weekend"", ""tickets"": 3, ""time"": ""18:30""}",[],[]
