conv_id,domain,task_success,num_rows,repairs,confirms,oos,refusals,slot_f1,state_slot_accuracy,joint_goal_accuracy,wrong_slots,goal
oracle_movie_00000,movie,0,16,0,0,2,4,0.8889,0.8,0,"[""tickets""]","{""movie"": ""dune"", ""theater"": ""BHD"", ""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}"
oracle_movie_00001,movie,1,16,0,0,0,1,1.0,1.0,1,[],"{""movie"": ""oppenheimer"", ""theater"": ""Galaxy"", ""date"": ""tomorrow"", ""time"": ""22:00"", ""tickets"": 3}"
oracle_navigation_00002,navigation,1,14,3,5,0,0,1.0,1.0,1,[],"{""origin"": ""Chợ Bà Chiểu"", ""destination"": ""Bến Thành"", ""mode"": ""bus""}"
oracle_navigation_00003,navigation,1,16,2,2,0,1,1.0,1.0,1,[],"{""origin"": ""Bến Thành"", ""destination"": ""Central Stadium"", ""mode"": ""bus""}"
oracle_movie_00004,movie,0,16,0,0,1,1,0.75,0.6,0,"[""time"", ""tickets""]","{""movie"": ""wonka"", ""theater"": ""Galaxy"", ""date"": ""weekend"", ""time"": ""19:45"", ""tickets"": 2}"
oracle_navigation_00005,navigation,1,12,0,1,0,0,1.0,1.0,1,[],"{""origin"": ""Landmark 81"", ""destination"": ""Sân bay Tân Sơn Nhất"", ""mode"": ""motorbike""}"
oracle_navigation_00006,navigation,1,8,0,1,0,0,1.0,1.0,1,[],"{""origin"": ""City Hall"", ""destination"": ""Bến Thành"", ""mode"": ""car""}"
oracle_movie_00007,movie,1,12,0,1,0,0,1.0,1.0,1,[],"{""movie"": ""wonka"", ""theater"": ""Galaxy"", ""date"": ""today"", ""time"": ""18:30"", ""tickets"": 4}"
oracle_navigation_00008,navigation,1,8,1,2,0,0,1.0,1.0,1,[],"{""origin"": ""City Hall"", ""destination"": ""Landmark 81"", ""mode"": ""car"", ""avoid"": ""traffic""}"
oracle_movie_00009,movie,0,16,0,0,1,2,0.8,0.8,0,"[""theater""]","{""movie"": ""wonka"", ""theater"": ""CGV"", ""date"": ""today"", ""time"": ""21:10"", ""tickets"": 3}"
oracle_movie_00010,movie,1,16,0,0,3,2,1.0,1.0,1,[],"{""movie"": ""barbie"", ""theater"": ""Lotte"", ""date"": ""tomorrow"", ""time"": ""21:10"", ""tickets"": 1}"
oracle_navigation_00011,navigation,0,16,1,1,1,2,0.6667,0.6667,0,"[""origin""]","{""origin"": ""Chợ Bà Chiểu"", ""destination"": ""UBND Quận 1"", ""mode"": ""walk""}"
oracle_navigation_00012,navigation,1,16,2,2,0,1,1.0,1.0,1,[],"{""origin"": ""Bến Thành"", ""destination"": ""Landmark 81"", ""mode"": ""walk""}"
