conv_id,domain,row_id,speaker,utterance,sys_act,usr_act,extracted_slots,state_info,state_book,missing_info,missing_book
movie_0000,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
movie_0000,movie,1,user,Mình muốn đặt vé phim dune.,,"{""act"": ""inform"", ""slots"": {""movie"": ""dune""}}","{""movie"": ""dune""}","{""movie"": ""dune""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0000,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,,"{""movie"": ""dune""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0000,movie,3,user,BHD.,,"{""act"": ""inform"", ""slots"": {""theater"": ""BHD""}}","{""theater"": ""BHD""}","{""movie"": ""dune"", ""theater"": ""BHD""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0000,movie,4,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,,"{""movie"": ""dune"", ""theater"": ""BHD""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0000,movie,5,user,Cuối tuần.,,"{""act"": ""inform"", ""slots"": {""date"": ""weekend""}}","{""date"": ""weekend""}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
movie_0000,movie,6,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
movie_0000,movie,7,user,18:30 BHD. Cuối tuần.,,"{""act"": ""inform"", ""slots"": {""time"": ""18:30"", ""theater"": ""BHD"", ""date"": ""weekend""}}","{""date"": ""weekend"", ""time"": ""18:30"", ""theater"": ""BHD""}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
movie_0000,movie,8,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30""}",[],"[""tickets""]"
movie_0000,movie,9,user,1 vé,,"{""act"": ""inform"", ""slots"": {""tickets"": 1}}","{""tickets"": 1}","{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
movie_0000,movie,10,system,"Chốt đặt vé: phim dune, rạp BHD, ngày weekend, giờ 18:30, 1 vé. OK không?",CONFIRM(movie),,,"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
movie_0000,movie,11,user,OK,,"{""act"": ""confirm"", ""slots"": {}}",{},"{""movie"": ""dune"", ""theater"": ""BHD""}","{""date"": ""weekend"", ""time"": ""18:30"", ""tickets"": 1}",[],[]
movie_0001,movie,0,system,Bạn muốn xem phim nào?,REQUEST(movie.movie),,,{},{},"[""movie"", ""theater""]","[""date"", ""time"", ""tickets""]"
movie_0001,movie,1,user,Mình muốn đặt vé phim wonka.,,"{""act"": ""inform"", ""slots"": {""movie"": ""wonka""}}","{""movie"": ""wonka""}","{""movie"": ""wonka""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0001,movie,2,system,Bạn muốn xem ở rạp nào (CGV/Lotte/Galaxy/BHD...) hoặc khu vực nào?,REQUEST(movie.theater),,,"{""movie"": ""wonka""}",{},"[""theater""]","[""date"", ""time"", ""tickets""]"
movie_0001,movie,3,user,CGV.,,"{""act"": ""inform"", ""slots"": {""theater"": ""CGV""}}","{""theater"": ""CGV""}","{""movie"": ""wonka"", ""theater"": ""CGV""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0001,movie,4,system,Bạn xem ngày nào? (hôm nay/mai/cuối tuần),REQUEST(movie.date),,,"{""movie"": ""wonka"", ""theater"": ""CGV""}",{},[],"[""date"", ""time"", ""tickets""]"
movie_0001,movie,5,user,Cuối tuần.,,"{""act"": ""inform"", ""slots"": {""date"": ""weekend""}}","{""date"": ""weekend""}","{""movie"": ""wonka"", ""theater"": ""CGV""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
movie_0001,movie,6,system,Bạn muốn suất mấy giờ? (vd 19:45),REQUEST(movie.time),,,"{""movie"": ""wonka"", ""theater"": ""CGV""}","{""date"": ""weekend""}",[],"[""time"", ""tickets""]"
movie_0001,movie,7,user,19:45,,"{""act"": ""inform"", ""slots"": {""time"": ""19:45""}}","{""time"": ""19:45""}","{""movie"": ""wonka"", ""theater"": ""CGV""}","{""date"": ""weekend"", ""time"": ""19:45""}",[],"[""tickets""]"
movie_0001,movie,8,system,Bạn đặt mấy vé?,REQUEST(movie.tickets),,,"{""movie"": ""wonka"", ""theater"": ""CGV""}","{""date"": ""weekend"", ""time"": ""19:45""}",[],"[""tickets""]"
movie_0001,movie,9,user,3 vé Cuối tuần. Mình muốn đặt vé phim wonka.,,"{""act"": ""inform"", ""slots"": {""tickets"": 3, ""date"": ""weekend"", ""movie"": ""wonka""}}","{""date"": ""weekend"", ""tickets"": 3, ""movie"": ""wonka""}","{""movie"": ""wonka"", ""theater"": ""CGV""}","{""date"": ""weekend"", ""time"": ""19:45"", ""tickets"": 3}",[],[]
